,x,y,y_prob
0,1.919,0.004563099,3.81428E-06
1,1.919835853,0.00473161,3.95514E-06
2,1.920671706,0.00488494,4.08331E-06
3,1.921507559,0.005072142,4.23979E-06
4,1.922343411,0.005354779,4.47604E-06
5,1.923179264,0.005801948,4.84983E-06
6,1.924015117,0.006484293,5.4202E-06
7,1.92485097,0.00746796,6.24244E-06
8,1.925686823,0.008809619,7.36393E-06
9,1.926522676,0.010553571,8.8217E-06
10,1.927358528,0.012731754,1.06424E-05
11,1.928194381,0.015367052,1.28453E-05
12,1.929030234,0.018479787,1.54472E-05
13,1.929866087,0.022096633,1.84705E-05
14,1.93070194,0.026260513,2.19511E-05
15,1.931537793,0.031039549,2.59459E-05
16,1.932373645,0.036532805,3.05377E-05
17,1.933209498,0.042870679,3.58355E-05
18,1.934045351,0.050208322,4.1969E-05
19,1.934881204,0.058711454,4.90767E-05
20,1.935717057,0.068535181,5.72883E-05
21,1.93655291,0.07979784,6.67028E-05
22,1.937388763,0.092553125,7.73649E-05
23,1.938224615,0.106764626,8.92442E-05
24,1.939060468,0.122287192,0.000102219
25,1.939896321,0.13885917,0.000116072
26,1.940732174,0.156108411,0.000130491
27,1.941568027,0.173573254,0.000145089
28,1.94240388,0.19073747,0.000159437
29,1.943239732,0.207075913,0.000173094
30,1.944075585,0.222105549,0.000185657
31,1.944911438,0.235435262,0.0001968
32,1.945747291,0.24680753,0.000206306
33,1.946583144,0.256126037,0.000214095
34,1.947418997,0.263465398,0.00022023
35,1.948254849,0.269061963,0.000224908
36,1.949090702,0.273287672,0.00022844
37,1.949926555,0.276611358,0.000231219
38,1.950762408,0.27955334,0.000233678
39,1.951598261,0.282639371,0.000236257
40,1.952434114,0.286359225,0.000239367
41,1.953269967,0.291133697,0.000243358
42,1.954105819,0.297292272,0.000248506
43,1.954941672,0.305062242,0.000255001
44,1.955777525,0.314569099,0.000262947
45,1.956613378,0.325847221,0.000272375
46,1.957449231,0.338859272,0.000283251
47,1.958285084,0.353522157,0.000295508
48,1.959120936,0.369736784,0.000309062
49,1.959956789,0.38741869,0.000323842
50,1.960792642,0.406526661,0.000339814
51,1.961628495,0.42708718,0.000357001
52,1.962464348,0.449213445,0.000375496
53,1.963300201,0.473118649,0.000395478
54,1.964136054,0.499123616,0.000417216
55,1.964971906,0.52765874,0.000441068
56,1.965807759,0.559259319,0.000467483
57,1.966643612,0.594552522,0.000496985
58,1.967479465,0.634233799,0.000530154
59,1.968315318,0.67903136,0.0005676
60,1.969151171,0.729659503,0.00060992
